feature,coefficient,selected,split_id,target_column,alpha,l1_ratio,inner_cv_daily_cs_ic
z_volatility_20d,0.0008953197332848456,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_max_drawdown_60d,0.0010512107986189643,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_ATR_14,-0.009762283837221192,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_volume_change,-0.00016867011970988333,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_relative_volume,-0.0001483108657793833,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_RSI_14,0.000639771742226814,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_market_beta_60d,-0.0020431970820595623,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_idio_vol_60d,0.0006973503390856525,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_Federal_Funds_Rate,0.00032251669922952743,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_Treasury_10Y,0.0005711880555046815,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_Yield_Spread_10Y2Y,0.001954025543594729,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_Breakeven_Inflation_10Y,-0.0021593701502052175,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_CPI,-0.0003257629417495656,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_Unemployment_Rate,0.0031486775770512235,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_Financial_Conditions_Index,-0.002064584928612701,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_VIX,-0.0015853113784112228,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_rate_sensitivity_beta,-0.0011148277206543742,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
ETF_XLC,-0.0001477632405246458,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
ETF_XLE,0.002838308186879974,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
ETF_XLF,-0.00047425524881171253,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
ETF_XLI,0.004528560632632143,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
ETF_XLK,0.0003711368722603846,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
ETF_XLP,0.005025763453256655,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
ETF_XLRE,0.0023024879436258122,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
ETF_XLU,-0.0001446442598876763,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
ETF_XLV,0.00701068261976067,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
ETF_XLY,0.0005567843048116383,True,4,target_5d_forward_return_raw,1e-05,0.3,0.03879137542702205
z_return_5d,0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_return_5d_rel_spy,0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_return_5d_excess_rf,0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_return_20d,0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_return_20d_rel_spy,0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_return_20d_excess_rf,0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_return_60d_rel_spy,-0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_price_to_MA20,0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_price_to_MA50,0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_MA20_minus_MA50,-0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_volatility_20d,0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_max_drawdown_60d,-0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_ATR_14,-0.00013583428264180003,True,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_volume_change,-0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_relative_volume,-0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_RSI_14,0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_market_beta_60d,0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_idio_vol_60d,0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_Federal_Funds_Rate,-0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_Treasury_10Y,-0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_Yield_Spread_10Y2Y,0.00020453987682602674,True,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_Breakeven_Inflation_10Y,-0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_CPI,-0.0008794644414316755,True,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_Unemployment_Rate,0.0021333257506010147,True,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_Financial_Conditions_Index,-0.001423727070963298,True,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_VIX,-4.9891251880855665e-05,True,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_rate_sensitivity_beta,-0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
ETF_XLC,0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
ETF_XLE,-0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
ETF_XLF,0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
ETF_XLI,0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
ETF_XLK,0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
ETF_XLP,-0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
ETF_XLRE,-0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
ETF_XLU,-0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
ETF_XLV,-0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
ETF_XLY,0.0,False,5,target_5d_forward_return_raw,0.001,0.7,0.040048819391425926
z_return_5d,-0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_return_5d_rel_spy,-0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_return_5d_excess_rf,-0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_return_20d,-0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_return_20d_rel_spy,-0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_return_20d_excess_rf,-0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_return_60d_rel_spy,-0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_price_to_MA20,-0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_price_to_MA50,-0.001076438614487188,True,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_MA20_minus_MA50,-0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_volatility_20d,0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_max_drawdown_60d,-0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_ATR_14,-0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_volume_change,-0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_relative_volume,0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_RSI_14,-0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_market_beta_60d,-0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
z_idio_vol_60d,-0.0,False,1,target_5d_forward_return_excess_spy,0.001,0.9,0.08614680451295204
