feature,gain_importance,split_id,target_column
z_return_5d_rel_spy,0.028954351815627888,1,target_5d_forward_return_excess_spy
z_return_5d_excess_rf,0.003314394038170576,1,target_5d_forward_return_excess_spy
z_return_20d,0.15808992707752623,1,target_5d_forward_return_excess_spy
z_return_20d_rel_spy,0.04152036615414545,1,target_5d_forward_return_excess_spy
z_return_20d_excess_rf,0.0,1,target_5d_forward_return_excess_spy
z_return_60d_rel_spy,0.1954013061185833,1,target_5d_forward_return_excess_spy
z_price_to_MA20,0.20806739514227957,1,target_5d_forward_return_excess_spy
z_price_to_MA50,0.4329923849145416,1,target_5d_forward_return_excess_spy
z_MA20_minus_MA50,0.4008678100362886,1,target_5d_forward_return_excess_spy
z_volatility_20d,0.33673066430492327,1,target_5d_forward_return_excess_spy
z_max_drawdown_60d,0.2563291455153376,1,target_5d_forward_return_excess_spy
z_ATR_14,0.5829552731011063,1,target_5d_forward_return_excess_spy
z_volume_change,0.06300407784874551,1,target_5d_forward_return_excess_spy
z_relative_volume,0.08621970695094205,1,target_5d_forward_return_excess_spy
z_RSI_14,0.2029993672913406,1,target_5d_forward_return_excess_spy
z_market_beta_60d,0.36166829339344986,1,target_5d_forward_return_excess_spy
z_idio_vol_60d,0.2778886791493278,1,target_5d_forward_return_excess_spy
z_Federal_Funds_Rate,0.4385106933186762,1,target_5d_forward_return_excess_spy
z_Treasury_10Y,0.6644691304536536,1,target_5d_forward_return_excess_spy
z_Yield_Spread_10Y2Y,0.33742287234053947,1,target_5d_forward_return_excess_spy
z_Breakeven_Inflation_10Y,0.27374844133737497,1,target_5d_forward_return_excess_spy
z_CPI,0.3566784767608624,1,target_5d_forward_return_excess_spy
z_Unemployment_Rate,0.5966292885714211,1,target_5d_forward_return_excess_spy
z_Financial_Conditions_Index,0.36985552715486847,1,target_5d_forward_return_excess_spy
z_VIX,0.34255587906227447,1,target_5d_forward_return_excess_spy
z_rate_sensitivity_beta,0.4829700825503096,1,target_5d_forward_return_excess_spy
ETF,0.49457417358644307,1,target_5d_forward_return_excess_spy
z_return_5d,0.5862280986038968,2,target_5d_forward_return_excess_spy
z_return_5d_rel_spy,0.06928635924123228,2,target_5d_forward_return_excess_spy
z_return_5d_excess_rf,0.03287387941963971,2,target_5d_forward_return_excess_spy
z_return_20d,0.5656829884974286,2,target_5d_forward_return_excess_spy
z_return_20d_rel_spy,0.12005746038630605,2,target_5d_forward_return_excess_spy
z_return_20d_excess_rf,0.032367940060794353,2,target_5d_forward_return_excess_spy
z_return_60d_rel_spy,0.9526742411544546,2,target_5d_forward_return_excess_spy
z_price_to_MA20,0.7573579293675721,2,target_5d_forward_return_excess_spy
z_price_to_MA50,0.9519974567228928,2,target_5d_forward_return_excess_spy
z_MA20_minus_MA50,0.9319256094750017,2,target_5d_forward_return_excess_spy
z_volatility_20d,0.7042139475233853,2,target_5d_forward_return_excess_spy
z_max_drawdown_60d,2.0055667059496045,2,target_5d_forward_return_excess_spy
z_ATR_14,1.5446711528347805,2,target_5d_forward_return_excess_spy
z_volume_change,0.04899793001823127,2,target_5d_forward_return_excess_spy
z_relative_volume,0.11752516962587833,2,target_5d_forward_return_excess_spy
z_RSI_14,0.38982263789512217,2,target_5d_forward_return_excess_spy
z_market_beta_60d,1.1273991606431082,2,target_5d_forward_return_excess_spy
z_idio_vol_60d,1.971984079806134,2,target_5d_forward_return_excess_spy
z_Federal_Funds_Rate,0.8044520517578349,2,target_5d_forward_return_excess_spy
z_Treasury_10Y,0.8455126921180636,2,target_5d_forward_return_excess_spy
z_Yield_Spread_10Y2Y,1.283426602196414,2,target_5d_forward_return_excess_spy
z_Breakeven_Inflation_10Y,0.635990469250828,2,target_5d_forward_return_excess_spy
z_CPI,0.8362836024025455,2,target_5d_forward_return_excess_spy
z_Unemployment_Rate,1.473094109329395,2,target_5d_forward_return_excess_spy
z_Financial_Conditions_Index,1.4650686783716083,2,target_5d_forward_return_excess_spy
z_VIX,1.1248095710761845,2,target_5d_forward_return_excess_spy
z_rate_sensitivity_beta,1.4421204109676182,2,target_5d_forward_return_excess_spy
ETF,0.8619988620048389,2,target_5d_forward_return_excess_spy
z_return_5d,0.6768125696107745,3,target_5d_forward_return_excess_spy
z_return_5d_rel_spy,0.09925849933642894,3,target_5d_forward_return_excess_spy
z_return_5d_excess_rf,0.02494265034329146,3,target_5d_forward_return_excess_spy
z_return_20d,0.796636660117656,3,target_5d_forward_return_excess_spy
z_return_20d_rel_spy,0.19272551964968443,3,target_5d_forward_return_excess_spy
z_return_20d_excess_rf,0.03285447950474918,3,target_5d_forward_return_excess_spy
z_return_60d_rel_spy,1.7352685693185776,3,target_5d_forward_return_excess_spy
z_price_to_MA20,0.8297031096881256,3,target_5d_forward_return_excess_spy
z_price_to_MA50,0.8409344422398135,3,target_5d_forward_return_excess_spy
