feature,coefficient,selected,etf,split_id,target_column,alpha,l1_ratio,inner_cv_time_series_rank_ic
z_market_beta_60d,-0.007899036332580985,True,XLI,1,target_5d_forward_return_raw,0.0001,0.3,0.2123310638346391
z_idio_vol_60d,-0.009218826466114254,True,XLI,1,target_5d_forward_return_raw,0.0001,0.3,0.2123310638346391
z_Federal_Funds_Rate,-0.009200175872324108,True,XLI,1,target_5d_forward_return_raw,0.0001,0.3,0.2123310638346391
z_Treasury_10Y,-0.00393810844211689,True,XLI,1,target_5d_forward_return_raw,0.0001,0.3,0.2123310638346391
z_Yield_Spread_10Y2Y,0.003845025280660491,True,XLI,1,target_5d_forward_return_raw,0.0001,0.3,0.2123310638346391
z_Breakeven_Inflation_10Y,-0.005205096132831857,True,XLI,1,target_5d_forward_return_raw,0.0001,0.3,0.2123310638346391
z_CPI,0.004381936309762869,True,XLI,1,target_5d_forward_return_raw,0.0001,0.3,0.2123310638346391
z_Unemployment_Rate,0.005778360649858779,True,XLI,1,target_5d_forward_return_raw,0.0001,0.3,0.2123310638346391
z_Financial_Conditions_Index,-0.0072198984078417,True,XLI,1,target_5d_forward_return_raw,0.0001,0.3,0.2123310638346391
z_VIX,0.001540252513101635,True,XLI,1,target_5d_forward_return_raw,0.0001,0.3,0.2123310638346391
z_rate_sensitivity_beta,-0.0015502241564059494,True,XLI,1,target_5d_forward_return_raw,0.0001,0.3,0.2123310638346391
z_return_5d,-0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_return_5d_rel_spy,-0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_return_5d_excess_rf,-0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_return_20d,-0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_return_20d_rel_spy,-0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_return_20d_excess_rf,-0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_return_60d_rel_spy,-0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_price_to_MA20,-0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_price_to_MA50,-0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_MA20_minus_MA50,0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_volatility_20d,0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_max_drawdown_60d,-0.0019139089235555556,True,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_ATR_14,0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_volume_change,-0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_relative_volume,-0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_RSI_14,-0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_market_beta_60d,-0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_idio_vol_60d,-0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_Federal_Funds_Rate,-0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_Treasury_10Y,-0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_Yield_Spread_10Y2Y,-0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_Breakeven_Inflation_10Y,-0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_CPI,-0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_Unemployment_Rate,0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_Financial_Conditions_Index,-0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_VIX,0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_rate_sensitivity_beta,0.0,False,XLK,1,target_5d_forward_return_raw,0.01,0.7,0.13446616448266982
z_return_5d,-0.0011338047397402178,True,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_return_5d_rel_spy,-5.061807103154209e-19,False,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_return_5d_excess_rf,-1.113597562693926e-17,False,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_return_20d,-0.0,False,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_return_20d_rel_spy,-0.0,False,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_return_20d_excess_rf,-0.0,False,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_return_60d_rel_spy,-0.00011924658774619289,True,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_price_to_MA20,-0.0,False,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_price_to_MA50,-0.0008992789141881357,True,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_MA20_minus_MA50,-0.0002140335232095186,True,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_volatility_20d,0.0,False,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_max_drawdown_60d,0.00041652710381403693,True,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_ATR_14,-2.7038490933633838e-05,True,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_volume_change,-0.0,False,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_relative_volume,-0.0007278642105990749,True,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_RSI_14,-0.0,False,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_market_beta_60d,0.0,False,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_idio_vol_60d,-0.0,False,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_Federal_Funds_Rate,-0.0,False,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_Treasury_10Y,-0.0008950424136967486,True,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_Yield_Spread_10Y2Y,0.0006743003927706791,True,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_Breakeven_Inflation_10Y,-0.0,False,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_CPI,-0.0,False,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_Unemployment_Rate,0.0,False,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_Financial_Conditions_Index,-0.002574690082507073,True,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_VIX,0.0023717618799316944,True,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_rate_sensitivity_beta,0.0,False,XLP,1,target_5d_forward_return_raw,0.001,1.0,-0.076597265303309
z_return_5d,-0.0,False,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_return_5d_rel_spy,-0.0,False,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_return_5d_excess_rf,-0.0,False,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_return_20d,-0.0010086849820520765,True,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_return_20d_rel_spy,-7.303886930084805e-05,True,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_return_20d_excess_rf,-2.570317484298627e-06,True,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_return_60d_rel_spy,-0.003945175403043836,True,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_price_to_MA20,0.005770259676509769,True,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_price_to_MA50,-0.011791246428779439,True,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_MA20_minus_MA50,0.0005161642580230296,True,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_volatility_20d,-0.005688331400759071,True,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_max_drawdown_60d,-0.0,False,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_ATR_14,0.00209009602602812,True,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_volume_change,0.00040039600704766727,True,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_relative_volume,-0.0008344170417819147,True,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_RSI_14,0.0023385571918692746,True,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_market_beta_60d,-0.0034822214529751827,True,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_idio_vol_60d,0.011251941433960687,True,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_Federal_Funds_Rate,0.0015760058447632597,True,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_Treasury_10Y,0.0,False,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_Yield_Spread_10Y2Y,0.003489405762092118,True,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_Breakeven_Inflation_10Y,-0.006119445533016124,True,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
z_CPI,-0.0,False,XLRE,1,target_5d_forward_return_raw,0.001,0.1,0.2070000812093403
